par chr ind mid sexind
F 20 447 57211413.5 447F
M 20 447 4602688.5 447M
M 20 447 51540566 447M
F 21 447 18958572 447F
M 21 447 17423350.5 447M
M 21 447 32565777 447M
F 22 447 16323798 447F
F 22 447 46933749 447F
M 22 447 19650802 447M
M 22 447 47707673 447M
F 1 448 14316194.5 448F
F 1 448 162787916 448F
F 1 448 239719216 448F
F 1 448 246257196.5 448F
M 1 448 15492331.5 448M
M 1 448 109959581.5 448M
M 1 448 232998352.5 448M
F 2 448 240137004.5 448F
M 2 448 10809488 448M
M 2 448 176682191.5 448M
F 3 448 1418427.5 448F
F 3 448 6414134.5 448F
F 3 448 34696005 448F
F 3 448 146348077.5 448F
M 3 448 17173698.5 448M
M 3 448 70846902.5 448M
M 3 448 142681689.5 448M
M 3 448 188008498.5 448M
F 4 448 190742825 448F
M 4 448 114184552 448M
F 5 448 91302376 448F
F 5 448 121188053 448F
M 5 448 68211040 448M
F 6 448 12752751.5 448F
M 6 448 43112319.5 448M
M 6 448 147012493 448M
F 7 448 80093984 448F
F 7 448 153881134 448F
M 7 448 2494553 448M
M 7 448 41968541 448M
M 7 448 130742410 448M
M 7 448 154603259 448M
F 8 448 3069704 448F
M 8 448 54168147 448M
F 9 448 16842122 448F
M 9 448 116005295 448M
M 9 448 132739737 448M
F 10 448 12142224.5 448F
F 10 448 65679083 448F
F 10 448 130974440 448F
F 10 448 135173869.5 448F
M 10 448 46265473 448M
M 10 448 100191380.5 448M
M 10 448 126956046 448M
F 11 448 84706614 448F
M 11 448 110145919.5 448M
F 12 448 82325307 448F
F 12 448 129602086.5 448F
M 12 448 3432382 448M
M 12 448 25119375 448M
M 12 448 80644249 448M
M 12 448 118535424 448M
M 13 448 22075107 448M
M 13 448 39793968.5 448M
M 13 448 69957015 448M
M 13 448 94143361 448M
F 14 448 29569782.5 448F
F 14 448 97221523 448F
M 14 448 22580009 448M
M 14 448 56021135.5 448M
M 14 448 80766561.5 448M
F 15 448 31493400.5 448F
M 16 448 11519759.5 448M
M 16 448 55224859.5 448M
M 16 448 73419623.5 448M
F 17 448 4377818.5 448F
F 17 448 72993346.5 448F
M 17 448 8537145 448M
M 17 448 72569830 448M
M 18 448 14870895 448M
F 19 448 56249347 448F
F 20 448 41377312 448F
M 20 448 7017671 448M
M 20 448 24421606.5 448M
M 21 448 31774362.5 448M
F 22 448 21303834 448F
M 22 448 22352833 448M
F 1 449 5545812 449F
F 1 449 94186273 449F
F 1 449 176901976.5 449F
F 1 449 214877297.5 449F
M 1 449 6137373.5 449M
M 1 449 29995771 449M
M 1 449 107292656.5 449M
M 1 449 227985910 449M
F 2 449 60906338 449F
F 2 449 116941850 449F
M 2 449 1570605 449M
M 2 449 16182546.5 449M
M 2 449 30107645.5 449M
M 2 449 132861674 449M
F 3 449 38193805 449F
M 3 449 4515270.5 449M
M 3 449 73947494.5 449M
M 3 449 181541512.5 449M
F 4 449 187018915 449F
F 4 449 188428405 449F
M 5 449 33653180.5 449M
M 5 449 136185079.5 449M
F 6 449 5758793 449F
M 6 449 23528750.5 449M
M 6 449 117717122.5 449M
M 6 449 128630767 449M
F 7 449 31063995.5 449F
M 7 449 25050434.5 449M
M 7 449 105373381.5 449M
M 7 449 154170016.5 449M
F 9 449 100529181.5 449F
M 9 449 131520821 449M
F 10 449 55412276.5 449F
F 10 449 125334445 449F
M 10 449 5974988 449M
M 10 449 72847815 449M
M 10 449 121869697.5 449M
F 11 449 124842683.5 449F
M 11 449 20598209 449M
M 11 449 99127316 449M
M 11 449 121747260 449M
F 12 449 49923150 449F
F 12 449 126469498 449F
M 12 449 62539784 449M
M 12 449 116594764 449M
F 13 449 30882221 449F
M 13 449 34964383 449M
F 14 449 21318540.5 449F
F 15 449 96997679 449F
M 15 449 50789969 449M
F 16 449 6801563.5 449F
F 16 449 74769619 449F
M 16 449 53356008.5 449M
F 17 449 10874117.5 449F
F 17 449 73176206 449F
F 18 449 72555095.5 449F
M 18 449 3368702 449M
M 18 449 35955617.5 449M
M 18 449 59092104.5 449M
M 19 449 15436100 449M
M 19 449 36664659.5 449M
F 20 449 62326450.5 449F
M 20 449 15375948.5 449M
M 20 449 54855038.5 449M
F 21 449 39408441.5 449F
F 22 449 32729225.5 449F
M 22 449 16257885 449M
F 1 450 11498413.5 450F
F 1 450 58471425.5 450F
F 1 450 85499987.5 450F
M 1 450 171652481 450M
M 1 450 211516475 450M
F 2 450 3074839 450F
F 3 450 5008377 450F
F 3 450 196577115 450F
M 3 450 150206189.5 450M
M 3 450 195986014.5 450M
F 4 450 32270713 450F
F 4 450 96040498 450F
M 5 450 27614991.5 450M
M 6 450 139001534.5 450M
M 7 450 9993965.5 450M
M 7 450 139326783 450M
F 8 450 140126083.5 450F
M 8 450 39681650 450M
M 8 450 102304006.5 450M
F 9 450 91036112 450F
M 9 450 88363945 450M
F 10 450 7489139.5 450F
F 10 450 133402175.5 450F
M 10 450 78840797 450M
M 10 450 130578399.5 450M
F 11 450 68794362 450F
M 11 450 19849030 450M
M 11 450 98878010.5 450M
F 12 450 70937905.5 450F
F 12 450 130696103.5 450F
F 13 450 111741309.5 450F
M 13 450 27842748 450M
M 13 450 92566991 450M
F 14 450 102920575 450F
F 15 450 24196286.5 450F
M 15 450 29377180 450M
M 16 450 7464009.5 450M
M 16 450 53365678.5 450M
F 17 450 13430764 450F
M 17 450 37471215 450M
M 17 450 59483143 450M
M 18 450 9845451 450M
F 19 450 58969806 450F
M 19 450 3883380.5 450M
M 20 450 40042658 450M
M 22 450 18742962.5 450M
F 1 451 88322617 451F
F 1 451 166930934 451F
F 1 451 243197186 451F
M 1 451 13837919.5 451M
M 1 451 55098917 451M
M 1 451 178827607.5 451M
M 1 451 209292484 451M
M 1 451 240990070 451M
F 2 451 7885825 451F
F 2 451 66586104.5 451F
F 2 451 166356911.5 451F
M 2 451 9540774.5 451M
M 2 451 45489572 451M
M 2 451 88175661.5 451M
M 2 451 121309276 451M
M 2 451 163275414.5 451M
F 3 451 2726681 451F
F 3 451 181636912 451F
F 3 451 197916275 451F
M 3 451 17125053 451M
M 3 451 42465983.5 451M
M 3 451 59394493.5 451M
F 4 451 109984143 451F
M 4 451 13401488.5 451M
M 4 451 99648017 451M
M 5 451 11444441.5 451M
M 6 451 162497218 451M
M 7 451 29478079 451M
M 7 451 98614444.5 451M
F 8 451 122215695 451F
M 8 451 13539774 451M
M 8 451 73078598.5 451M
M 9 451 88448873 451M
F 10 451 71636749.5 451F
F 10 451 119052595 451F
M 10 451 98380099 451M
M 10 451 123862774 451M
F 11 451 27122915.5 451F
F 11 451 130582032 451F
M 11 451 63570384.5 451M
M 11 451 119039927 451M
F 12 451 71539924 451F
M 12 451 26010114.5 451M
M 12 451 50028138.5 451M
M 12 451 75639491.5 451M
M 12 451 127172928 451M
M 13 451 23887165 451M
F 14 451 82587815 451F
F 15 451 37007400.5 451F
F 15 451 96128337.5 451F
M 16 451 30104953.5 451M
M 16 451 55547589.5 451M
F 17 451 9384972.5 451F
F 17 451 62908018 451F
F 18 451 2159517.5 451F
M 18 451 9639207 451M
M 18 451 56974513 451M
F 19 451 52845200 451F
M 19 451 43864185.5 451M
F 20 451 56379993.5 451F
M 20 451 44620609.5 451M
F 21 451 41939880 451F
F 22 451 47262282.5 451F
M 22 451 25994294.5 451M
F 1 452 194678000.5 452F
F 1 452 236011003 452F
M 1 452 8974194.5 452M
M 1 452 23710721 452M
M 1 452 118886841 452M
M 2 452 4598078.5 452M
M 2 452 114423577 452M
M 2 452 221817837.5 452M
F 3 452 2894096.5 452F
F 3 452 103135915 452F
M 3 452 32586975 452M
M 3 452 170684556.5 452M
M 4 452 10647495 452M
M 4 452 41903291.5 452M
F 5 452 7220080.5 452F
F 5 452 178839239 452F
M 5 452 14478774 452M
M 5 452 147325981.5 452M
M 6 452 2801559.5 452M
M 6 452 117967986.5 452M
M 6 452 164155324 452M
F 7 452 154037379 452F
M 7 452 137960536 452M
F 8 452 3192897 452F
M 8 452 123974249 452M
M 9 452 27595651 452M
M 9 452 70499746 452M
M 9 452 121684487.5 452M
F 10 452 79898553.5 452F
M 10 452 4206140.5 452M
M 10 452 71022993 452M
M 10 452 132239108 452M
F 11 452 42782519 452F
M 11 452 45067528.5 452M
M 11 452 100681272 452M
F 12 452 2321614.5 452F
F 12 452 94172455 452F
M 12 452 29563328.5 452M
M 12 452 127116460 452M
F 13 452 104286105.5 452F
M 13 452 21734268 452M
M 13 452 90039072.5 452M
F 14 452 56324418.5 452F
F 14 452 88098211.5 452F
M 14 452 32012062.5 452M
M 14 452 76263652 452M
F 15 452 52308602 452F
F 16 452 5946486.5 452F
F 16 452 84072932.5 452F
M 16 452 6162471 452M
M 16 452 75368295 452M
F 17 452 14516131 452F
M 17 452 47023688 452M
F 18 452 1430059.5 452F
F 18 452 74456392.5 452F
F 19 452 46443985 452F
M 19 452 34394115 452M
M 20 452 33537298 452M
M 20 452 51817918.5 452M
F 22 452 48221463 452F
M 22 452 25501790.5 452M
F 1 453 199590046 453F
M 1 453 191264503.5 453M
F 2 453 53697061.5 453F
F 2 453 100781039 453F
M 2 453 16079224.5 453M
M 2 453 159475244 453M
M 2 453 174935819.5 453M
F 3 453 131409634 453F
F 3 453 195955686 453F
M 3 453 72237937.5 453M
M 3 453 107986801 453M
M 3 453 145000868.5 453M
F 4 453 24397119.5 453F
M 4 453 7503386.5 453M
M 4 453 63015711 453M
M 4 453 110908366.5 453M
F 5 453 76932954 453F
F 5 453 177112278 453F
M 5 453 16877752.5 453M
M 5 453 115135941.5 453M
M 5 453 148267164 453M
M 5 453 173144901.5 453M
F 6 453 12596139 453F
F 6 453 56349081.5 453F
F 6 453 165983656 453F
M 6 453 20514243 453M
M 6 453 47291028.5 453M
M 6 453 68818552 453M
M 6 453 138890226 453M
M 6 453 165004956.5 453M
F 7 453 112506396 453F
F 7 453 157716951 453F
M 7 453 25659549 453M
M 7 453 108024430.5 453M
M 8 453 27506657 453M
M 8 453 116952566.5 453M
M 8 453 132618878 453M
F 9 453 16473046.5 453F
F 9 453 119983672.5 453F
M 9 453 109484151 453M
F 10 453 8152956 453F
M 10 453 80577729 453M
M 10 453 126309346.5 453M
M 11 453 20267164.5 453M
M 11 453 44860166 453M
M 12 453 48553726.5 453M
M 12 453 91353462.5 453M
F 13 453 30916513 453F
F 13 453 111559418 453F
M 13 453 101568419.5 453M
M 13 453 112367326.5 453M
M 14 453 21829264.5 453M
M 14 453 37014593 453M
F 15 453 96341182 453F
F 16 453 85408213.5 453F
M 16 453 21162917 453M
F 17 453 28838506.5 453F
F 17 453 75792128.5 453F
F 17 453 78111193 453F
M 17 453 9920163 453M
M 17 453 57737834 453M
F 18 453 6018307.5 453F
M 18 453 70986376 453M
F 19 453 44888315.5 453F
M 19 453 6382861 453M
M 19 453 59638025.5 453M
F 20 453 52880116 453F
M 20 453 11546220.5 453M
F 21 453 43036575.5 453F
M 21 453 18594199 453M
M 21 453 36913691 453M
F 1 454 17755773.5 454F
F 1 454 222005527.5 454F
M 1 454 34574800.5 454M
M 1 454 63262069 454M
M 1 454 101915664.5 454M
M 1 454 205284175.5 454M
M 1 454 228072877 454M
F 2 454 156719760.5 454F
M 2 454 10932402.5 454M
M 2 454 38290453.5 454M
M 2 454 60719028 454M
M 2 454 79300788.5 454M
M 2 454 236718426.5 454M
F 3 454 187456380.5 454F
M 3 454 32257269.5 454M
M 3 454 66684927 454M
M 3 454 135590019 454M
F 4 454 101639039 454F
F 4 454 180366266 454F
M 4 454 74845529.5 454M
M 4 454 139686345 454M
M 4 454 188585754.5 454M
F 5 454 5258345.5 454F
F 5 454 73477200 454F
M 5 454 26225857 454M
M 5 454 173246138.5 454M
F 6 454 1534279 454F
F 6 454 100357444 454F
F 6 454 170551029.5 454F
M 6 454 6847987 454M
M 6 454 43076207.5 454M
F 7 454 12604629 454F
F 7 454 88668506.5 454F
M 7 454 68055410 454M
M 7 454 138074113.5 454M
F 8 454 35536268.5 454F
F 8 454 116374159.5 454F
M 8 454 38730057.5 454M
M 8 454 136268547 454M
F 9 454 1893934.5 454F
F 9 454 120812058.5 454F
M 9 454 118933836 454M
F 10 454 130344215 454F
M 10 454 14113026 454M
M 10 454 34301499 454M
M 10 454 100159330 454M
M 10 454 115037992.5 454M
F 11 454 133173682.5 454F
M 11 454 58195209 454M
F 12 454 123451542.5 454F
M 12 454 57039266.5 454M
M 12 454 101842993 454M
F 13 454 22222354.5 454F
M 13 454 99173739 454M
F 16 454 19073125 454F
M 16 454 29461444 454M
F 17 454 1016984 454F
F 17 454 76104549 454F
M 17 454 45671230 454M
F 18 454 1941465 454F
F 18 454 8741521 454F
M 18 454 4294858 454M
M 18 454 65493420.5 454M
F 19 454 61313183.5 454F
M 19 454 49140422 454M
F 20 454 2415630.5 454F
M 20 454 36406411.5 454M
M 21 454 16855740 454M
F 22 454 43531092 454F
F 1 455 54610068.5 455F
F 1 455 181427141.5 455F
F 1 455 237432005.5 455F
M 1 455 7057309 455M
M 1 455 110690372 455M
M 1 455 151283244.5 455M
M 1 455 194616616.5 455M
F 2 455 34630929.5 455F
F 2 455 132852876 455F
F 2 455 240493611 455F
M 2 455 98334579.5 455M
M 2 455 176512428 455M
F 3 455 12842207 455F
F 3 455 150081850 455F
F 3 455 195005072 455F
M 3 455 26647180 455M
M 3 455 127065057 455M
M 3 455 149821597.5 455M
M 3 455 188034223 455M
M 4 455 53353593.5 455M
M 4 455 119184169.5 455M
M 4 455 147560607 455M
M 4 455 183105054.5 455M
F 5 455 173054844.5 455F
M 5 455 11371573.5 455M
M 5 455 69467951 455M
M 6 455 53569430 455M
M 6 455 139744447 455M
F 7 455 107400655.5 455F
F 7 455 148751954.5 455F
M 7 455 67012802 455M
M 7 455 138790642 455M
F 8 455 18976088.5 455F
F 9 455 138068964 455F
M 9 455 13529796.5 455M
M 9 455 38596928 455M
M 9 455 106718153.5 455M
M 9 455 131222268 455M
F 10 455 12400472 455F
M 10 455 120247813.5 455M
F 11 455 78782308.5 455F
M 11 455 11988502 455M
M 11 455 66928074.5 455M
M 11 455 119958335 455M
M 12 455 10306160 455M
M 12 455 66292809.5 455M
F 13 455 35163734.5 455F
F 13 455 111694137 455F
M 13 455 20101274 455M
M 14 455 21433855 455M
F 15 455 44670388 455F
F 15 455 91989418.5 455F
F 16 455 10243024 455F
F 16 455 87166137 455F
M 16 455 11408715.5 455M
M 16 455 49178056 455M
M 16 455 82575943 455M
F 17 455 71864755.5 455F
F 18 455 73923110 455F
M 18 455 30794264 455M
F 19 455 16934341.5 455F
F 20 455 51852068.5 455F
M 20 455 42260946 455M
F 21 455 23052917 455F
M 21 455 25018778 455M
F 22 455 36992678 455F
F 1 456 2216141.5 456F
F 1 456 53800050 456F
F 1 456 102063181.5 456F
F 1 456 206581829 456F
F 1 456 232732224.5 456F
M 1 456 43526406 456M
M 1 456 238040972 456M
F 2 456 14035185.5 456F
F 2 456 51108547 456F
M 2 456 11730748.5 456M
F 3 456 190523906.5 456F
F 4 456 4078649 456F
F 4 456 87418952 456F
M 4 456 24895224.5 456M
F 5 456 10636698.5 456F
M 5 456 5076673 456M
M 5 456 79530191.5 456M
M 5 456 157986125.5 456M
F 6 456 40977405 456F
F 6 456 109771611 456F
M 6 456 52200017 456M
M 6 456 90830385.5 456M
F 7 456 93668047 456F
M 7 456 22017534.5 456M
M 7 456 116049465.5 456M
F 8 456 18335382 456F
F 8 456 86572996 456F
M 8 456 22160227 456M
M 8 456 139892113.5 456M
F 9 456 9091886 456F
F 9 456 75504088 456F
M 9 456 10883825.5 456M
F 10 456 1773494 456F
F 10 456 130307986 456F
F 11 456 5096479.5 456F
M 11 456 59033501.5 456M
F 12 456 9095326.5 456F
F 12 456 97006405.5 456F
F 12 456 131947810 456F
M 12 456 119611389.5 456M
M 13 456 59950832.5 456M
M 13 456 102554931 456M
F 14 456 24333652.5 456F
F 14 456 100437285.5 456F
M 14 456 25012180 456M
M 14 456 92155818 456M
F 15 456 24124126 456F
M 15 456 83249215 456M
F 16 456 5399402 456F
F 16 456 58223145.5 456F
F 16 456 86448867.5 456F
F 17 456 3715985 456F
F 17 456 50793237 456F
M 17 456 14224562.5 456M
F 18 456 14450506.5 456F
F 18 456 73488497.5 456F
F 19 456 56585357.5 456F
M 19 456 8561516.5 456M
M 19 456 48659309.5 456M
F 20 456 1850826 456F
F 20 456 56507492.5 456F
M 20 456 6939413.5 456M
M 20 456 40955244.5 456M
F 21 456 41946735.5 456F
M 21 456 43440451 456M
F 1 457 211855134.5 457F
M 1 457 5170324 457M
M 1 457 100269529.5 457M
M 1 457 150211046.5 457M
M 1 457 238056223 457M
F 2 457 8017841 457F
F 2 457 121052775.5 457F
F 2 457 197797287.5 457F
M 2 457 80676651.5 457M
M 2 457 111850424 457M
F 3 457 181099536.5 457F
M 3 457 170313191.5 457M
F 4 457 21594733 457F
M 4 457 23853064 457M
M 4 457 76791885.5 457M
F 5 457 114569358.5 457F
M 5 457 68084419.5 457M
M 5 457 142506625.5 457M
F 6 457 149077127 457F
M 6 457 117878811 457M
M 6 457 151576726.5 457M
F 7 457 8994682.5 457F
F 7 457 100705445.5 457F
F 7 457 155263282.5 457F
M 7 457 18913057 457M
M 7 457 55302161.5 457M
M 7 457 79765608 457M
M 7 457 107160672 457M
F 8 457 99373986.5 457F
F 8 457 124884569 457F
M 8 457 35450072 457M
M 8 457 82083330.5 457M
M 8 457 127713871.5 457M
F 9 457 7807727 457F
M 9 457 83642265 457M
M 9 457 118212508 457M
F 10 457 16708292.5 457F
M 10 457 36174995.5 457M
F 11 457 132425276 457F
M 11 457 17409033 457M
M 11 457 103328642.5 457M
F 12 457 2419643 457F
F 13 457 62735249.5 457F
M 13 457 39049293 457M
F 14 457 103579184.5 457F
M 14 457 43957490 457M
M 14 457 76895184 457M
F 15 457 66382423.5 457F
M 15 457 66468036.5 457M
F 16 457 88259500.5 457F
M 16 457 5445299.5 457M
M 16 457 12844107 457M
M 16 457 28872096 457M
M 16 457 55977966 457M
M 16 457 78033916 457M
F 17 457 7683706.5 457F
M 17 457 13775880 457M
M 17 457 51519389.5 457M
M 18 457 5173163.5 457M
F 19 457 3489064.5 457F
F 19 457 59132493 457F
M 19 457 35911519.5 457M
M 19 457 57802429.5 457M
F 20 457 4521660.5 457F
F 20 457 60930691.5 457F
M 20 457 16675007.5 457M
M 22 457 24670808 457M
M 1 458 18899124.5 458M
M 1 458 74689099 458M
M 1 458 164721367.5 458M
M 1 458 246530964 458M
F 2 458 23559128.5 458F
F 2 458 56328403.5 458F
F 2 458 230931992.5 458F
M 2 458 182288074.5 458M
F 3 458 58849785.5 458F
F 3 458 193886890 458F
M 3 458 19254484.5 458M
M 3 458 78399945 458M
M 3 458 117803645 458M
M 3 458 134627680 458M
M 3 458 180125296 458M
F 4 458 146476617.5 458F
M 4 458 69671025 458M
M 4 458 136177308.5 458M
F 5 458 16888182 458F
F 5 458 175064447 458F
F 5 458 180610616.5 458F
M 5 458 32015964 458M
F 6 458 99174167 458F
F 6 458 137698407 458F
M 6 458 20159397 458M
M 6 458 137552317 458M
F 7 458 5019202.5 458F
F 7 458 156231586.5 458F
M 7 458 15117214 458M
M 7 458 34267712.5 458M
M 7 458 79996142 458M
M 7 458 135641910 458M
M 8 458 55246253.5 458M
F 9 458 29341698 458F
F 9 458 87272384.5 458F
M 9 458 14964387 458M
M 9 458 78086769 458M
M 10 458 17559343.5 458M
M 10 458 58030358.5 458M
M 11 458 12722813 458M
M 11 458 89648618 458M
M 11 458 120779828 458M
F 12 458 12668030.5 458F
F 12 458 70912167.5 458F
F 12 458 129211879 458F
M 12 458 7169749.5 458M
M 12 458 69233280 458M
F 13 458 113050177 458F
M 13 458 21511863.5 458M
M 13 458 71244765.5 458M
M 13 458 99318446.5 458M
F 14 458 26255382.5 458F
F 14 458 72510214 458F
M 14 458 78850887.5 458M
M 15 458 71957664.5 458M
F 17 458 57260755 458F
M 17 458 14085603.5 458M
M 17 458 63498392.5 458M
M 18 458 24261280 458M
F 19 458 12501485.5 458F
M 19 458 56187450 458M
F 20 458 49753890 458F
M 20 458 16620916.5 458M
M 21 458 16612288 458M
F 22 458 23580924.5 458F
M 22 458 24065817 458M
F 1 459 243690099.5 459F
M 1 459 30662894.5 459M
F 2 459 192554401.5 459F
M 2 459 36913964.5 459M
F 3 459 149462683.5 459F
M 3 459 42271428.5 459M
M 3 459 106861482.5 459M
M 3 459 136851068 459M
M 3 459 188354619.5 459M
F 4 459 7462177.5 459F
F 4 459 73280702.5 459F
F 4 459 184805022 459F
M 4 459 41996869.5 459M
M 4 459 165010762.5 459M
F 5 459 58570300 459F
M 5 459 169245996.5 459M
F 6 459 1297545.5 459F
F 6 459 125235250 459F
M 6 459 14073862.5 459M
M 6 459 73535879.5 459M
M 6 459 137628780.5 459M
F 7 459 23288930.5 459F
F 7 459 151781024.5 459F
M 7 459 1304299.5 459M
M 7 459 78093584 459M
M 7 459 120966849 459M
M 7 459 149324145.5 459M
F 8 459 3978432.5 459F
F 8 459 82178070 459F
F 8 459 145265779 459F
F 9 459 11322750 459F
M 9 459 25907079.5 459M
M 9 459 54548159 459M
M 9 459 88381168 459M
M 9 459 112858207.5 459M
F 10 459 16853285 459F
F 10 459 132893178 459F
M 10 459 29954405 459M
M 10 459 79635536.5 459M
M 10 459 126328645.5 459M
M 11 459 18092887.5 459M
M 11 459 40678001 459M
M 11 459 98363411.5 459M
F 12 459 11550651.5 459F
F 12 459 84790943 459F
M 12 459 66383661.5 459M
M 12 459 90926437.5 459M
M 12 459 116849903.5 459M
F 13 459 106951409.5 459F
M 13 459 98905578.5 459M
M 14 459 42274413 459M
M 14 459 74801820.5 459M
F 15 459 44559135 459F
F 16 459 6286887.5 459F
M 16 459 28536644 459M
M 17 459 17338550 459M
M 17 459 68862293.5 459M
F 18 459 33315143.5 459F
F 19 459 61902362 459F
M 19 459 38291134 459M
M 19 459 56088481 459M
F 20 459 2568587.5 459F
M 20 459 5623701.5 459M
F 21 459 15666732.5 459F
M 22 459 20014011.5 459M
F 1 460 34695889.5 460F
F 1 460 72171298 460F
F 1 460 183927208 460F
M 1 460 112410916.5 460M
M 1 460 208770384 460M
M 1 460 236016268 460M
F 2 460 53369197 460F
F 2 460 154133801 460F
F 2 460 186515218 460F
M 2 460 47420113.5 460M
M 2 460 120937028 460M
M 2 460 134559354 460M
M 2 460 176976566.5 460M
M 2 460 216952975 460M
M 3 460 11067780 460M
M 3 460 72336629.5 460M
M 3 460 142694737 460M
M 3 460 183715879.5 460M
F 4 460 139279571.5 460F
M 4 460 163672815 460M
F 5 460 162304568.5 460F
F 5 460 179047299 460F
M 5 460 31920617 460M
M 5 460 71012537.5 460M
M 5 460 113172951 460M
F 6 460 3926164.5 460F
F 6 460 116256808 460F
F 6 460 164368990.5 460F
M 6 460 44558067.5 460M
M 7 460 105376010.5 460M
M 7 460 152355765.5 460M
F 8 460 130080793 460F
M 8 460 30236890 460M
F 9 460 32663071 460F
M 9 460 83305597.5 460M
M 9 460 111075611.5 460M
F 10 460 25688601.5 460F
F 11 460 1735728 460F
F 11 460 117016625 460F
M 11 460 80497540 460M
F 12 460 18286205.5 460F
F 12 460 124483543.5 460F
F 12 460 128674474.5 460F
M 12 460 119708817 460M
M 12 460 126707467.5 460M
F 13 460 49532005.5 460F
F 13 460 106302233 460F
M 13 460 28873437 460M
M 13 460 41571836 460M
M 13 460 83937145 460M
F 14 460 33410824 460F
M 14 460 33234692.5 460M
M 14 460 94281422.5 460M
F 16 460 5218420 460F
F 17 460 3114701 460F
F 18 460 28127365.5 460F
F 18 460 75389156.5 460F
M 18 460 71510661 460M
F 19 460 58478701.5 460F
F 20 460 4578178 460F
M 21 460 17787126 460M
M 22 460 22233758 460M
F 1 461 97508264.5 461F
F 1 461 212215974 461F
M 1 461 18321700 461M
M 1 461 166655420 461M
M 1 461 227317993.5 461M
F 2 461 115448950 461F
F 3 461 3552068 461F
F 3 461 132888269 461F
F 3 461 194247831.5 461F
M 3 461 62058834.5 461M
M 3 461 188245835.5 461M
F 4 461 6631790.5 461F
M 4 461 12862060 461M
M 4 461 57371410 461M
M 4 461 100618976.5 461M
M 4 461 132148405 461M
F 5 461 16760718.5 461F
M 6 461 122429470.5 461M
F 7 461 15103159.5 461F
F 7 461 135136936 461F
M 7 461 70449660 461M
F 8 461 6390243 461F
M 8 461 5389014.5 461M
M 8 461 25436923.5 461M
F 9 461 3952198 461F
F 9 461 86862257 461F
M 9 461 105997096.5 461M
M 9 461 125694425.5 461M
F 10 461 1267048.5 461F
F 10 461 80866720 461F
F 10 461 121898316.5 461F
M 10 461 78884316.5 461M
M 10 461 115602892 461M
F 11 461 28197927 461F
F 11 461 84235069 461F
M 11 461 110609506.5 461M
F 12 461 126350895.5 461F
M 12 461 22108905.5 461M
M 12 461 67585744.5 461M
M 12 461 113397989 461M
F 13 461 24117978.5 461F
M 13 461 26279195.5 461M
M 13 461 71860555.5 461M
M 13 461 107805494.5 461M
F 14 461 77973465.5 461F
F 14 461 104211403 461F
M 14 461 76319894.5 461M
M 14 461 94840446 461M
F 16 461 58586430.5 461F
M 18 461 26815909.5 461M
F 19 461 48203186 461F
M 19 461 16522651.5 461M
M 19 461 45283589.5 461M
F 1 462 186031732 462F
M 1 462 19364050 462M
M 1 462 105118415.5 462M
M 1 462 200306459 462M
M 1 462 228732436.5 462M
M 2 462 12660501.5 462M
M 2 462 29392807 462M
M 2 462 199238680 462M
F 3 462 72056238 462F
F 3 462 173422275 462F
M 3 462 46934989.5 462M
M 3 462 124926265.5 462M
M 3 462 146064696.5 462M
M 3 462 185608425 462M
M 4 462 6565113 462M
F 5 462 103640459 462F
F 5 462 173084456 462F
M 5 462 9505113 462M
M 5 462 60386402.5 462M
M 5 462 94802409 462M
M 5 462 146408572 462M
F 6 462 169460365 462F
M 6 462 167097581 462M
F 7 462 135641910 462F
M 7 462 9088642 462M
M 7 462 152342102 462M
F 8 462 128036036 462F
M 8 462 19257274 462M
M 8 462 51694174 462M
M 8 462 99050064 462M
M 8 462 124144386 462M
F 9 462 6557068 462F
F 9 462 87148957.5 462F
M 9 462 3690591.5 462M
M 9 462 82276982.5 462M
M 9 462 120368520.5 462M
F 10 462 130981799 462F
M 10 462 15306115.5 462M
M 10 462 128135372.5 462M
F 11 462 3090824.5 462F
F 11 462 59886410 462F
M 11 462 22782500.5 462M
M 11 462 117915668.5 462M
F 12 462 127511957 462F
M 12 462 17883596 462M
M 12 462 77674823.5 462M
M 12 462 124628790.5 462M
F 13 462 22987349.5 462F
M 13 462 106334908 462M
M 14 462 92550490.5 462M
F 15 462 44873819 462F
M 15 462 30310710.5 462M
M 15 462 57833567 462M
M 15 462 79060427 462M
M 16 462 27080034.5 462M
M 16 462 63272986.5 462M
F 17 462 74982139 462F
M 17 462 14986015 462M
M 17 462 29193067.5 462M
M 17 462 50233680.5 462M
F 18 462 71748959 462F
M 18 462 13442872.5 462M
M 18 462 22351907.5 462M
M 18 462 49865077.5 462M
M 18 462 68487633 462M
M 19 462 18266246.5 462M
M 19 462 45472303.5 462M
F 20 462 573554 462F
M 20 462 15928446 462M
F 22 462 47132216 462F
M 22 462 25817326 462M
F 1 463 12805400 463F
F 1 463 29590616.5 463F
F 1 463 167051965.5 463F
M 1 463 10853492.5 463M
M 1 463 34081241.5 463M
M 1 463 84534079.5 463M
M 1 463 114709850.5 463M
M 1 463 154931298 463M
M 1 463 221531828 463M
M 1 463 244788990.5 463M
F 2 463 25386871 463F
F 2 463 45371996.5 463F
F 2 463 241618228.5 463F
M 2 463 18747771.5 463M
M 2 463 77709038 463M
M 2 463 107599441 463M
M 2 463 216385530.5 463M
M 3 463 6082407.5 463M
M 3 463 78010541 463M
M 3 463 140464579 463M
